# scout01 구동감시 오탐 자력회복 건 — 후진 재시도로 9초 만에 해제 (10 Hz)
# t_wall_s 는 참값 기록 시작 기준. gt=gz 참값, est=map→base_link TF.
t_wall_s,t_sim_s,gt_x,gt_y,gt_yaw_deg,est_x,est_y,est_yaw_deg,err_x,err_y,err_yaw_deg
2367.213,10171.700,-59.8253,43.4362,91.998,-59.5415,43.4236,89.989,0.2838,-0.0126,-2.008
2367.520,10171.800,-59.8262,43.4641,91.999,-59.5415,43.4516,89.990,0.2847,-0.0125,-2.009
2367.827,10171.900,-59.8271,43.4921,92.000,-59.5415,43.4796,89.992,0.2856,-0.0125,-2.008
2368.111,10172.000,-59.8281,43.5201,92.000,-59.5415,43.5076,89.992,0.2866,-0.0125,-2.008
2368.414,10172.100,-59.8290,43.5480,92.002,-59.5415,43.5356,89.993,0.2875,-0.0124,-2.008
2368.711,10172.200,-59.8301,43.5760,92.004,-59.5415,43.5636,89.995,0.2886,-0.0124,-2.008
2369.004,10172.300,-59.8311,43.6039,92.007,-59.5415,43.5916,89.998,0.2896,-0.0123,-2.009
2369.291,10172.400,-59.8321,43.6318,92.008,-59.5415,43.6196,90.000,0.2907,-0.0123,-2.008
2369.580,10172.500,-59.8331,43.6595,92.007,-59.5415,43.6474,89.998,0.2917,-0.0121,-2.009
2369.856,10172.600,-59.8341,43.6866,92.007,-59.5415,43.6745,89.998,0.2926,-0.0120,-2.008
2370.145,10172.700,-59.8351,43.7130,92.006,-59.5415,43.7011,89.998,0.2936,-0.0119,-2.007
2370.442,10172.800,-59.8360,43.7388,92.005,-59.5415,43.7270,89.997,0.2945,-0.0118,-2.008
2370.747,10172.900,-59.8368,43.7640,92.006,-59.5415,43.7523,89.998,0.2954,-0.0117,-2.009
2371.040,10173.000,-59.8377,43.7886,92.008,-59.5415,43.7770,89.999,0.2962,-0.0116,-2.009
2371.319,10173.100,-59.8385,43.8127,92.010,-59.5415,43.8011,90.001,0.2970,-0.0115,-2.009
2371.612,10173.200,-59.8393,43.8362,92.008,-59.5415,43.8247,90.001,0.2978,-0.0115,-2.008
2371.924,10173.300,-59.8401,43.8591,92.008,-59.5415,43.8477,90.000,0.2986,-0.0114,-2.008
2372.224,10173.400,-59.8408,43.8815,92.007,-59.5415,43.8702,89.998,0.2994,-0.0113,-2.008
